makespan = 50000000004 (valid)
overtime = 4 (0.0000000080%)

machine  overtime  jobs
      1       -10  [2, 11, 16, 28, 57, 86, 89, 90]
      2        -6  [5, 14, 32, 42, 62, 63, 74, 79, 84, 95]
      3         0  [41, 53, 55, 58, 59, 66, 71, 76, 81, 99]
      4         1  [3, 22, 23, 25, 30, 44, 45, 73, 83, 87, 96]
      5         1  [9, 12, 36, 38, 52, 60, 65, 88]
      6         2  [4, 6, 18, 39, 56, 61, 75, 94, 100]
      7         2  [8, 19, 26, 31, 40, 68, 69, 78, 91, 92, 97]
      8         3  [1, 7, 10, 13, 15, 29, 33, 37, 43, 48, 54, 64, 72, 80, 82, 85]
      9         3  [20, 27, 35, 49, 50, 67, 77, 93, 98]
     10         4  [17, 21, 24, 34, 46, 47, 51, 70]
